"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CBG28335",11.4827018151623,1.40644960536098,0.734409655800064,1.91507504599568,0.0554829336844334,0.144470335797475
"CBG28338",0,NA,NA,NA,NA,NA
"CBG28339",0,NA,NA,NA,NA,NA
"CBG28347",0.12993794037912,0.308371147132758,0.732204741317428,0.421154261549737,0.67364244092512,NA
"CBG28353",0,NA,NA,NA,NA,NA
"CBG28361",0,NA,NA,NA,NA,NA
"CBG28372",0.0644091369975268,0.161592486752888,0.723412525558983,0.223375295621299,0.823243429838775,NA
"CBG28382",0,NA,NA,NA,NA,NA
"CBG28383",0.0644091369975268,0.161592486752888,0.723412525558983,0.223375295621299,0.823243429838775,NA
"CBG28385",0.358765751105406,1.05462526062958,1.04633946813531,1.00791883776403,0.313493427380504,NA
"CBG28386",0.161277570415838,0.339069948737894,0.743569362123046,0.456003119560735,0.648387734951023,NA
"CBG28389",0.198234530442416,-0.293776207326454,0.746700322405979,-0.393432543834806,0.694000037127023,NA
"CBG28391",0,NA,NA,NA,NA,NA
"CBG28395",0.0521805321795003,-0.0458880606081289,0.724018451743823,-0.0633796838983951,0.949464164621485,NA
"CBG28417",0,NA,NA,NA,NA,NA
"CBG28422",0,NA,NA,NA,NA,NA
"CBG28423",0,NA,NA,NA,NA,NA
"CBG28431",0,NA,NA,NA,NA,NA
"CBG28436",0,NA,NA,NA,NA,NA
"CBG28439",0,NA,NA,NA,NA,NA
"CBG28440",0.0245764107169597,-0.155611786531998,0.720730697230364,-0.215908365121655,0.829059176462056,NA
"CBG28448",0.655808607525955,-2.37107196207284,1.09034014992678,-2.17461675811174,0.0296588474599213,NA
"CBG28455",0.225719547910991,-0.339701986837028,0.814195060489907,-0.41722432783199,0.676514332346519,NA
"CBG28457",0.277795834159134,-0.732370904893623,0.989927640046009,-0.739822665078414,0.459407604419273,NA
"CBG28458",0,NA,NA,NA,NA,NA
"CBG28463",0,NA,NA,NA,NA,NA
"CBG28470",0.196910091678257,-0.0120881755451933,0.728270316013698,-0.016598473505497,0.986756942357501,NA
"CBG28481",0,NA,NA,NA,NA,NA
"CBG28488",0.0976304972445123,-0.323021936034956,0.731226019286936,-0.441753886643633,0.658667310925788,NA
"CBG28489",0.0822299301452688,-0.0299155696450031,0.719439897011508,-0.041581749593357,0.966832122371959,NA
"CBG28504",0,NA,NA,NA,NA,NA
"CBG28514",0,NA,NA,NA,NA,NA
"CBG28515",0,NA,NA,NA,NA,NA
"CBG28520",0.64110654281759,0.00129410002557833,1.05623736241073,0.00122519811515161,0.999022433584568,NA
"CBG28527",0,NA,NA,NA,NA,NA
"CBG28528",0.858315644495028,0.774400357349276,1.08167418046559,0.71592756056722,0.474036079494083,NA
"CBG28529",0,NA,NA,NA,NA,NA
"CBG28530",0.155014413961806,0.101163408601497,0.796403128004563,0.127025378284197,0.898920312281842,NA
"CBG28540",0.271966943867007,0.423524302884827,0.949647193587792,0.4459806818201,0.655611200419733,NA
"CBG28547",0,NA,NA,NA,NA,NA
"CBG28548",0,NA,NA,NA,NA,NA
"CBG28552",0,NA,NA,NA,NA,NA
"CBG28553",0.0443042035969991,-0.192544016796891,0.722154807061128,-0.266624295669325,0.789758447362882,NA
"CBG28557",0,NA,NA,NA,NA,NA
"CBG28564",0.18664802253307,-0.171214811389942,0.796007943519109,-0.21509183769324,0.82969571755616,NA
"CBG28570",0,NA,NA,NA,NA,NA
"CBG28575",0.522059687759979,-0.491475393156829,1.0797320212516,-0.455182752278775,0.648977767857074,NA
"CBG28578",0,NA,NA,NA,NA,NA
"CBG28579",0.159816579226742,0.312406444828675,0.732601651677474,0.426434262212408,0.66979143986775,NA
"CBG28597",0.0663587345079679,-0.0299155696450027,0.719439897011508,-0.0415817495933564,0.966832122371959,NA
"CBG28598",0,NA,NA,NA,NA,NA
"CBG28611",0.0415601287847309,-0.341437732867513,0.728606978684574,-0.468617159670834,0.639343309550794,NA
"CBG28613",0,NA,NA,NA,NA,NA
"CBG28614",0.0644091369975268,0.161592486752888,0.723412525558983,0.223375295621299,0.823243429838775,NA
"CBG28619",0.0354392364616731,0.121334881324343,0.722517884940887,0.167933394941871,0.866635677830294,NA
"CBG28620",0.0729077795348183,0.0972768886708242,0.723617236720356,0.134431414475022,0.893061441923552,NA
"CBG28625",0,NA,NA,NA,NA,NA
"CBG28627",0.0226515844944709,0.0959605756586719,0.721515610517473,0.132998613279966,0.894194477199678,NA
"CBG28628",0.053219893331507,-0.374449861554688,0.731242305043349,-0.512073575300721,0.608599517528668,NA
"CBG28636",0,NA,NA,NA,NA,NA
"CBG28637",0,NA,NA,NA,NA,NA
"CBG28643",0,NA,NA,NA,NA,NA
